Category,Company,Plant,Features,Data Shape,Timesteps,Model,Model Params,Scaler,Scaler Params,Imputer,Imputer Params,Cross Validation,Cross Validation Params,RMSE Train,MAE Train,MAPE Train,R2 Train,RMSE Test,MAE Test,MAPE Test,R2 Test
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6527366696934109,0.48943239361128116,0.010568913273431858,0.9891068132376771,1.9004405325541665,1.5251223150289264,0.03326544783277545,0.9087744769058103
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5860580932563261,0.45771143142960713,0.009942138012280928,0.9912809050375497,1.910868879761463,1.5015762242731068,0.032329220451018215,0.9021331334481678
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5211053236204175,0.39738112827516975,0.008511407048056618,0.99311428390042,1.8793686729089696,1.522986373037662,0.03332781803090755,0.9081818994942165
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7679088177827941,0.5890878168399121,0.012904831718092943,0.9847481003702622,1.7969582648439433,1.4392685224425124,0.03114494702003819,0.9208348958973582
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.5676026482282974,0.4432927203906072,0.009577047511293051,0.9918721519743477,2.0996722356184403,1.6865473146149623,0.03590316851663184,0.8781515307522232
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.748637168188519,0.5541756102638206,0.012265041364862575,0.9856022448084711,1.8920984378882693,1.5311516994260386,0.03348543168571782,0.9095527958718614
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6255324700315803,0.4724737130685204,0.01039062844283104,0.9900360109651916,2.053476706081668,1.5935605506177233,0.034592439256837186,0.8900538293076488
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6952535378962557,0.5087790176103703,0.011135981143111534,0.9879091251309567,1.990237867409658,1.6052607750082917,0.034247258363129224,0.8874363258424045
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7051260701517971,0.5100339671886401,0.011302868378496143,0.9874031665512076,1.8243650714628628,1.4809159764703703,0.0317988410819982,0.9107958380431125
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6220661420421912,0.46596831001542016,0.010008581825381323,0.9899753798082355,1.8188778949743363,1.4575135520010303,0.031706951689497435,0.9190786179598092
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6926034291797251,0.5250561927870813,0.011495629250148619,0.9881482253101619,1.9068523122461947,1.4839182330437408,0.03148732611987875,0.8882023228506556
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6918674548387346,0.5303745012720321,0.011754351307937484,0.9877067068803844,1.9381971161759735,1.5211936806732747,0.03321366956966402,0.9054561112082086
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7623847405136455,0.5754157795182023,0.012579738440674844,0.9853174278171677,1.8636491812588407,1.4969463800394325,0.0321474286983769,0.9066132551582854
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.7339496416661554,0.5328353591192324,0.01186351254099937,0.986286442617333,2.0886654721970546,1.669891089673313,0.036375575861069376,0.8858524792607517
Global Model,209,L,Chemical + Physical,"(1414, 15)",7,BidirectionalLSTM,,Standard Scaler,,Median,,Repeated KFold,"{""N_Splits"": 5, ""Repeats"": 3}",0.6369852771883944,0.4830861069355658,0.010438533623253204,0.989311174889517,2.036113333694872,1.645423646406692,0.036131847966971324,0.9048217383043412
